# Bvalcalc v1.4.4
# --genome --params /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/params/drosophila_v144/DroMel_Phastcons_paper_v144.py --bedgff /nas/longleaf/home/adaigle/johri/projects/Bmaps/bedgffs/DroMel_phastcons.bed --chr_sizes /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/dm6_autosomes_2_3_sizes.csv --rec_map /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/comeron_dm6_filled_clean.csv --prior_Bmap /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/drosophila_v144_paper_rerun/run_64623982/maps/coding_B_v144.csv --gamma_dfe --pop_change --out /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/drosophila_v144_paper_rerun/run_64623982/maps/phastcons_CDS_B_v144.csv --out_binsize 1000
# Format: Chromosome,Start,B
chr2L,1,0.012944
chr2L,1001,0.012944
chr2L,2001,0.012944
chr2L,3001,0.012944
chr2L,4001,0.012944
chr2L,5001,0.012944
chr2L,6001,0.012944
chr2L,7001,0.012858
chr2L,8001,0.012519
chr2L,9001,0.012513
chr2L,10001,0.012937
chr2L,11001,0.012858
chr2L,12001,0.012806
chr2L,13001,0.012846
chr2L,14001,0.012760
chr2L,15001,0.012802
chr2L,16001,0.012890
chr2L,17001,0.012909
chr2L,18001,0.012918
chr2L,19001,0.012885
chr2L,20001,0.012899
chr2L,21001,0.012915
chr2L,22001,0.012800
chr2L,23001,0.012793
chr2L,24001,0.012874
chr2L,25001,0.012892
chr2L,26001,0.012895
chr2L,27001,0.012822
chr2L,28001,0.012830
chr2L,29001,0.012817
chr2L,30001,0.012617
chr2L,31001,0.012662
chr2L,32001,0.012662
chr2L,33001,0.012724
chr2L,34001,0.012824
chr2L,35001,0.012700
chr2L,36001,0.012683
chr2L,37001,0.012682
chr2L,38001,0.012719
chr2L,39001,0.012833
chr2L,40001,0.012837
chr2L,41001,0.012804
chr2L,42001,0.012790
chr2L,43001,0.012782
chr2L,44001,0.012849
chr2L,45001,0.012861
chr2L,46001,0.012817
chr2L,47001,0.012860
chr2L,48001,0.012947
chr2L,49001,0.012947
chr2L,50001,0.012947
chr2L,51001,0.012947
chr2L,52001,0.012893
chr2L,53001,0.012809
chr2L,54001,0.012854
chr2L,55001,0.012792
chr2L,56001,0.012803
chr2L,57001,0.012759
chr2L,58001,0.012865
chr2L,59001,0.012820
chr2L,60001,0.012796
chr2L,61001,0.012799
chr2L,62001,0.012822
chr2L,63001,0.012835
chr2L,64001,0.012906
chr2L,65001,0.012801
