# Bvalcalc v1.4.4
# --genome --params /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/params/drosophila_v144/DroMel_Cds_paper_v144.py --bedgff /nas/longleaf/home/adaigle/johri/projects/Bmaps/bedgffs/DroMel_cds.bed --chr_sizes /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/dm6_autosomes_2_3_sizes.csv --rec_map /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/comeron_dm6_filled_clean.csv --gamma_dfe --pop_change --out /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/drosophila_v144_paper_rerun/run_64623982/maps/coding_B_v144.csv --out_binsize 1000
# Format: Chromosome,Start,B
chr2L,1,0.130860
chr2L,1001,0.130860
chr2L,2001,0.130860
chr2L,3001,0.130860
chr2L,4001,0.130860
chr2L,5001,0.130860
chr2L,6001,0.130860
chr2L,7001,0.130860
chr2L,8001,0.130860
chr2L,9001,0.130860
chr2L,10001,0.130851
chr2L,11001,0.130289
chr2L,12001,0.129599
chr2L,13001,0.129962
chr2L,14001,0.129032
chr2L,15001,0.129678
chr2L,16001,0.130826
chr2L,17001,0.130801
chr2L,18001,0.130860
chr2L,19001,0.130820
chr2L,20001,0.130853
chr2L,21001,0.130618
chr2L,22001,0.129449
chr2L,23001,0.129366
chr2L,24001,0.130235
chr2L,25001,0.130630
chr2L,26001,0.130425
chr2L,27001,0.130193
chr2L,28001,0.130168
chr2L,29001,0.130777
chr2L,30001,0.128787
chr2L,31001,0.128006
chr2L,32001,0.128014
chr2L,33001,0.129485
chr2L,34001,0.130033
chr2L,35001,0.129544
chr2L,36001,0.128223
chr2L,37001,0.128218
chr2L,38001,0.129538
chr2L,39001,0.130053
chr2L,40001,0.130832
chr2L,41001,0.130878
chr2L,42001,0.130878
chr2L,43001,0.130878
chr2L,44001,0.130878
chr2L,45001,0.130878
chr2L,46001,0.130878
chr2L,47001,0.130878
chr2L,48001,0.130878
chr2L,49001,0.130878
chr2L,50001,0.130878
chr2L,51001,0.130878
chr2L,52001,0.130878
chr2L,53001,0.130878
chr2L,54001,0.130878
chr2L,55001,0.130878
chr2L,56001,0.130878
chr2L,57001,0.130863
chr2L,58001,0.130827
chr2L,59001,0.130878
chr2L,60001,0.130880
