# Bvalcalc v1.4.4
# /work/users/a/d/adaigle/.conda/envs/bval2/bin/Bvalcalc --genome --params /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/params/arabidopsis_gossmann_fourbin/AraTha_Cds_Gossmann_4bin_Params.py --bedgff /nas/longleaf/home/adaigle/johri/projects/Bmaps/bedgffs/AraTha_cds.gff3 --rec_map /nas/longleaf/home/adaigle/johri/projects/Bmaps/recmaps/AraTha_recmap.csv --pop_change --out /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/arabidopsis_gossmann_fourbin/run_66645966/aratha_cds_gossmann_fourbin_bmap.csv --out_binsize 1000 --verbose
# Format: Chromosome,Start,B
1,1,0.581928
1,1001,0.581505
1,2001,0.581071
1,3001,0.580603
1,4001,0.580122
1,5001,0.579777
1,6001,0.579496
1,7001,0.579146
1,8001,0.578880
1,9001,0.578659
1,10001,0.572993
1,11001,0.572605
1,12001,0.572184
1,13001,0.572050
1,14001,0.571819
1,15001,0.571549
1,16001,0.571264
1,17001,0.570962
1,18001,0.570643
1,19001,0.570307
1,20001,0.564648
1,21001,0.564195
1,22001,0.563723
1,23001,0.563145
1,24001,0.562656
1,25001,0.562312
1,26001,0.562014
1,27001,0.561743
1,28001,0.561545
1,29001,0.561366
1,30001,0.556112
1,31001,0.556135
1,32001,0.556139
1,33001,0.556160
1,34001,0.556039
1,35001,0.556128
1,36001,0.556360
1,37001,0.556536
1,38001,0.556667
1,39001,0.556746
1,40001,0.551771
1,41001,0.551884
1,42001,0.551950
1,43001,0.551989
1,44001,0.552005
1,45001,0.551959
1,46001,0.551950
1,47001,0.552022
1,48001,0.552015
1,49001,0.552251
1,50001,0.547568
1,51001,0.547660
1,52001,0.547670
1,53001,0.547721
1,54001,0.547866
1,55001,0.548111
1,56001,0.548256
1,57001,0.548245
1,58001,0.548382
1,59001,0.548782
1,60001,0.545095
1,61001,0.545093
1,62001,0.545080
1,63001,0.545036
1,64001,0.545007
1,65001,0.544992
1,66001,0.545036
1,67001,0.545102
1,68001,0.545179
1,69001,0.545211
1,70001,0.541883
1,71001,0.541729
1,72001,0.541744
1,73001,0.541670
1,74001,0.541693
1,75001,0.541651
1,76001,0.541658
1,77001,0.541818
1,78001,0.541871
1,79001,0.541903
1,80001,0.539266
1,81001,0.539065
1,82001,0.538826
1,83001,0.538498
1,84001,0.538314
1,85001,0.538312
1,86001,0.538172
1,87001,0.538050
1,88001,0.537968
1,89001,0.537871
1,90001,0.536110
1,91001,0.535747
1,92001,0.535355
1,93001,0.535027
1,94001,0.534807
1,95001,0.534755
1,96001,0.534669
1,97001,0.534617
1,98001,0.534615
1,99001,0.534597
1,100001,0.533801
1,101001,0.533591
1,102001,0.533571
1,103001,0.533429
1,104001,0.533218
1,105001,0.533048
1,106001,0.532931
1,107001,0.532745
1,108001,0.532532
1,109001,0.532180
1,110001,0.531700
1,111001,0.531524
1,112001,0.531284
1,113001,0.531072
1,114001,0.530975
1,115001,0.530904
1,116001,0.530829
1,117001,0.530581
1,118001,0.530579
1,119001,0.530627
1,120001,0.531074
1,121001,0.530937
1,122001,0.530805
1,123001,0.530875
1,124001,0.531056
1,125001,0.531156
1,126001,0.531290
1,127001,0.531522
1,128001,0.531829
1,129001,0.532133
1,130001,0.533419
1,131001,0.533533
1,132001,0.533560
1,133001,0.533656
1,134001,0.533809
1,135001,0.534093
1,136001,0.534308
1,137001,0.534462
1,138001,0.534802
1,139001,0.535118
1,140001,0.537067
1,141001,0.537300
1,142001,0.537475
1,143001,0.537753
1,144001,0.537985
1,145001,0.538253
1,146001,0.538513
1,147001,0.538716
1,148001,0.538837
1,149001,0.539119
1,150001,0.545286
1,151001,0.545948
1,152001,0.546563
1,153001,0.546865
1,154001,0.547311
1,155001,0.547845
1,156001,0.548634
1,157001,0.549177
1,158001,0.549958
1,159001,0.550669
1,160001,0.554881
1,161001,0.555048
1,162001,0.555628
1,163001,0.556078
1,164001,0.556187
1,165001,0.556666
1,166001,0.557242
1,167001,0.557586
1,168001,0.558216
1,169001,0.558608
1,170001,0.558957
1,171001,0.559348
1,172001,0.559642
1,173001,0.560010
1,174001,0.560225
1,175001,0.560272
1,176001,0.560203
1,177001,0.560176
1,178001,0.560545
1,179001,0.560794
1,180001,0.557060
1,181001,0.556999
1,182001,0.556888
1,183001,0.556618
1,184001,0.556188
1,185001,0.555546
1,186001,0.555146
1,187001,0.554709
1,188001,0.554380
1,189001,0.554281
1,190001,0.547320
1,191001,0.546969
1,192001,0.546688
1,193001,0.546426
1,194001,0.546218
1,195001,0.545759
1,196001,0.545147
1,197001,0.544598
1,198001,0.544119
1,199001,0.543568
1,200001,0.535611
1,201001,0.535174
1,202001,0.534891
1,203001,0.534521
1,204001,0.534315
1,205001,0.533986
1,206001,0.533861
1,207001,0.533744
1,208001,0.533664
1,209001,0.533444
1,210001,0.528180
1,211001,0.527943
1,212001,0.527828
1,213001,0.527864
1,214001,0.527741
1,215001,0.527648
1,216001,0.527607
1,217001,0.527774
1,218001,0.527908
1,219001,0.527854
1,220001,0.522673
1,221001,0.522885
1,222001,0.522971
1,223001,0.523152
1,224001,0.523415
1,225001,0.523654
1,226001,0.523777
1,227001,0.524055
1,228001,0.524294
1,229001,0.524420
1,230001,0.518749
1,231001,0.518783
1,232001,0.518952
1,233001,0.519018
1,234001,0.519087
1,235001,0.519149
1,236001,0.519220
1,237001,0.519375
1,238001,0.519514
1,239001,0.519571
1,240001,0.513437
1,241001,0.513333
1,242001,0.513326
1,243001,0.513315
1,244001,0.513401
1,245001,0.513525
1,246001,0.513543
1,247001,0.513606
1,248001,0.513728
1,249001,0.513777
1,250001,0.507525
1,251001,0.507417
1,252001,0.507348
1,253001,0.507233
1,254001,0.507288
1,255001,0.507401
1,256001,0.507406
1,257001,0.507352
1,258001,0.507240
1,259001,0.507025
1,260001,0.499804
1,261001,0.499646
1,262001,0.499497
1,263001,0.499242
1,264001,0.499046
1,265001,0.498884
1,266001,0.498716
1,267001,0.498545
1,268001,0.498330
1,269001,0.498151
1,270001,0.489243
1,271001,0.488916
1,272001,0.488676
1,273001,0.488513
1,274001,0.488438
1,275001,0.488285
1,276001,0.488122
1,277001,0.487997
1,278001,0.487944
1,279001,0.487946
1,280001,0.476900
1,281001,0.476696
1,282001,0.476534
1,283001,0.476346
1,284001,0.476122
1,285001,0.475863
1,286001,0.475848
1,287001,0.475918
1,288001,0.475916
1,289001,0.475931
1,290001,0.462017
1,291001,0.461794
1,292001,0.461473
1,293001,0.461044
1,294001,0.460582
1,295001,0.460165
1,296001,0.459780
1,297001,0.459366
1,298001,0.458853
1,299001,0.458288
1,300001,0.447949
1,301001,0.447910
1,302001,0.447764
1,303001,0.447582
1,304001,0.447426
1,305001,0.447291
1,306001,0.447162
1,307001,0.447038
1,308001,0.446987
1,309001,0.446961
1,310001,0.444485
1,311001,0.444285
1,312001,0.444167
1,313001,0.444183
1,314001,0.444126
1,315001,0.444073
1,316001,0.444004
1,317001,0.443959
1,318001,0.443915
1,319001,0.443902
1,320001,0.442116
1,321001,0.441994
1,322001,0.441916
