# Bvalcalc v1.4.4
# --genome --params /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/params/drosophila_v144/DroMel_Utr_paper_v144.py --bedgff /nas/longleaf/home/adaigle/johri/projects/Bmaps/bedgffs/DroMel_utr.bed --chr_sizes /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/dm6_autosomes_2_3_sizes.csv --rec_map /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/data/drosophila_v144/comeron_dm6_filled_clean.csv --prior_Bmap /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/drosophila_v144_paper_rerun/run_64623982/maps/phastcons_CDS_B_v144.csv --gamma_dfe --pop_change --out /users/a/d/adaigle/Bvalcalc/bvalcalc_revision_work/results/drosophila_v144_paper_rerun/run_64623982/maps/allregions_B_v144.csv --out_binsize 1000
# Format: Chromosome,Start,B
chr2L,1,0.004308
chr2L,1001,0.004308
chr2L,2001,0.004308
chr2L,3001,0.004308
chr2L,4001,0.004308
chr2L,5001,0.004308
chr2L,6001,0.004308
chr2L,7001,0.004279
chr2L,8001,0.004167
chr2L,9001,0.004132
chr2L,10001,0.004175
chr2L,11001,0.004240
chr2L,12001,0.004262
chr2L,13001,0.004275
chr2L,14001,0.004247
chr2L,15001,0.004261
chr2L,16001,0.004289
chr2L,17001,0.004288
chr2L,18001,0.004263
chr2L,19001,0.004285
chr2L,20001,0.004279
chr2L,21001,0.004265
chr2L,22001,0.004259
chr2L,23001,0.004258
chr2L,24001,0.004285
chr2L,25001,0.004209
chr2L,26001,0.004220
chr2L,27001,0.004267
chr2L,28001,0.004270
chr2L,29001,0.004266
chr2L,30001,0.004199
chr2L,31001,0.004214
chr2L,32001,0.004214
chr2L,33001,0.004235
chr2L,34001,0.004268
chr2L,35001,0.004227
chr2L,36001,0.004221
chr2L,37001,0.004221
chr2L,38001,0.004233
chr2L,39001,0.004271
chr2L,40001,0.004273
chr2L,41001,0.004262
chr2L,42001,0.004257
chr2L,43001,0.004254
chr2L,44001,0.004277
chr2L,45001,0.004281
chr2L,46001,0.004266
chr2L,47001,0.004280
chr2L,48001,0.004309
chr2L,49001,0.004309
chr2L,50001,0.004309
chr2L,51001,0.004309
chr2L,52001,0.004291
chr2L,53001,0.004263
chr2L,54001,0.004278
chr2L,55001,0.004258
chr2L,56001,0.004261
chr2L,57001,0.004245
chr2L,58001,0.004222
chr2L,59001,0.004246
chr2L,60001,0.004259
chr2L,61001,0.004260
chr2L,62001,0.004268
chr2L,63001,0.004272
chr2L,64001,0.004296
chr2L,65001,0.004257
chr2L,66001,0.004257
chr2L,67001,0.004236
chr2L,68001,0.004226
chr2L,69001,0.004224
chr2L,70001,0.004226
chr2L,71001,0.004258
chr2L,72001,0.004266
chr2L,73001,0.004266
chr2L,74001,0.004255
chr2L,75001,0.004256
chr2L,76001,0.004246
chr2L,77001,0.004251
chr2L,78001,0.004262
chr2L,79001,0.004245
chr2L,80001,0.004273
chr2L,81001,0.004258
chr2L,82001,0.004205
chr2L,83001,0.004231
chr2L,84001,0.004247
chr2L,85001,0.004255
chr2L,86001,0.004272
chr2L,87001,0.004273
chr2L,88001,0.004271
chr2L,89001,0.004281
chr2L,90001,0.004254
chr2L,91001,0.004255
chr2L,92001,0.004261
chr2L,93001,0.004260
chr2L,94001,0.004273
chr2L,95001,0.004233
chr2L,96001,0.004224
chr2L,97001,0.004224
chr2L,98001,0.004250
chr2L,99001,0.004248
chr2L,100001,0.004266
chr2L,101001,0.004270
chr2L,102001,0.004271
chr2L,103001,0.004256
chr2L,104001,0.004239
chr2L,105001,0.004268
chr2L,106001,0.004257
chr2L,107001,0.004236
chr2L,108001,0.004239
chr2L,109001,0.004258
chr2L,110001,0.004262
chr2L,111001,0.004251
chr2L,112001,0.004264
chr2L,113001,0.004227
chr2L,114001,0.004228
chr2L,115001,0.004246
chr2L,116001,0.004238
chr2L,117001,0.004251
chr2L,118001,0.004269
chr2L,119001,0.004254
chr2L,120001,0.004166
chr2L,121001,0.004183
chr2L,122001,0.004260
chr2L,123001,0.004256
chr2L,124001,0.004262
chr2L,125001,0.004261
chr2L,126001,0.004263
chr2L,127001,0.004251
chr2L,128001,0.004259
chr2L,129001,0.004269
chr2L,130001,0.004266
chr2L,131001,0.004287
chr2L,132001,0.004233
chr2L,133001,0.004226
chr2L,134001,0.004229
chr2L,135001,0.004265
chr2L,136001,0.004256
chr2L,137001,0.004264
chr2L,138001,0.004270
chr2L,139001,0.004270
chr2L,140001,0.004262
chr2L,141001,0.004264
chr2L,142001,0.004230
chr2L,143001,0.004253
chr2L,144001,0.004236
chr2L,145001,0.004244
chr2L,146001,0.004259
chr2L,147001,0.004281
chr2L,148001,0.004275
chr2L,149001,0.004269
chr2L,150001,0.004257
chr2L,151001,0.004233
chr2L,152001,0.004234
chr2L,153001,0.004240
chr2L,154001,0.004247
chr2L,155001,0.004243
chr2L,156001,0.004260
chr2L,157001,0.004258
chr2L,158001,0.004272
chr2L,159001,0.004198
chr2L,160001,0.004118
chr2L,161001,0.004116
chr2L,162001,0.004130
chr2L,163001,0.004262
chr2L,164001,0.004259
chr2L,165001,0.004250
chr2L,166001,0.004233
chr2L,167001,0.004275
chr2L,168001,0.004252
chr2L,169001,0.004259
chr2L,170001,0.004275
chr2L,171001,0.004250
chr2L,172001,0.004291
chr2L,173001,0.004281
chr2L,174001,0.004264
chr2L,175001,0.004263
chr2L,176001,0.004293
chr2L,177001,0.004259
chr2L,178001,0.004281
chr2L,179001,0.004279
chr2L,180001,0.004248
chr2L,181001,0.004242
chr2L,182001,0.004245
chr2L,183001,0.004220
chr2L,184001,0.004220
chr2L,185001,0.004222
chr2L,186001,0.004228
chr2L,187001,0.004072
chr2L,188001,0.003999
chr2L,189001,0.003999
chr2L,190001,0.003999
chr2L,191001,0.003999
chr2L,192001,0.003999
chr2L,193001,0.003999
chr2L,194001,0.003999
chr2L,195001,0.003999
chr2L,196001,0.003999
chr2L,197001,0.003999
chr2L,198001,0.003999
chr2L,199001,0.004056
chr2L,200001,0.004201
chr2L,201001,0.004113
chr2L,202001,0.004080
chr2L,203001,0.004141
chr2L,204001,0.004178
chr2L,205001,0.004186
chr2L,206001,0.004182
chr2L,207001,0.004175
chr2L,208001,0.004182
chr2L,209001,0.004163
chr2L,210001,0.004105
chr2L,211001,0.004099
chr2L,212001,0.004120
chr2L,213001,0.004146
chr2L,214001,0.004146
chr2L,215001,0.004182
chr2L,216001,0.004177
chr2L,217001,0.004157
chr2L,218001,0.004161
chr2L,219001,0.004195
chr2L,220001,0.004201
chr2L,221001,0.004171
chr2L,222001,0.004158
chr2L,223001,0.004170
chr2L,224001,0.004163
chr2L,225001,0.004170
chr2L,226001,0.004186
chr2L,227001,0.004189
chr2L,228001,0.004191
chr2L,229001,0.004169
chr2L,230001,0.004178
chr2L,231001,0.004189
chr2L,232001,0.004185
chr2L,233001,0.004176
chr2L,234001,0.004054
chr2L,235001,0.004038
chr2L,236001,0.004033
chr2L,237001,0.004030
chr2L,238001,0.004030
chr2L,239001,0.004032
chr2L,240001,0.007249
chr2L,241001,0.007468
chr2L,242001,0.007795
chr2L,243001,0.008157
chr2L,244001,0.008337
chr2L,245001,0.008563
chr2L,246001,0.008763
chr2L,247001,0.008911
chr2L,248001,0.009027
chr2L,249001,0.009194
chr2L,250001,0.011592
chr2L,251001,0.011985
chr2L,252001,0.016853
chr2L,253001,0.017068
chr2L,254001,0.021740
chr2L,255001,0.021913
chr2L,256001,0.026471
chr2L,257001,0.026697
chr2L,258001,0.030935
chr2L,259001,0.030977
chr2L,260001,0.064092
chr2L,261001,0.064544
chr2L,262001,0.071286
chr2L,263001,0.072101
chr2L,264001,0.080626
chr2L,265001,0.081357
chr2L,266001,0.087011
chr2L,267001,0.088232
chr2L,268001,0.094210
chr2L,269001,0.094753
chr2L,270001,0.099718
chr2L,271001,0.100147
chr2L,272001,0.104934
chr2L,273001,0.105403
chr2L,274001,0.109329
chr2L,275001,0.110079
chr2L,276001,0.113953
chr2L,277001,0.113376
chr2L,278001,0.117966
chr2L,279001,0.118359
chr2L,280001,0.163791
chr2L,281001,0.163004
chr2L,282001,0.167229
chr2L,283001,0.167199
chr2L,284001,0.171944
chr2L,285001,0.171922
chr2L,286001,0.174006
chr2L,287001,0.172917
chr2L,288001,0.174893
chr2L,289001,0.176015
chr2L,290001,0.177023
chr2L,291001,0.177775
chr2L,292001,0.179533
chr2L,293001,0.178693
chr2L,294001,0.181639
chr2L,295001,0.182104
chr2L,296001,0.182894
chr2L,297001,0.183222
chr2L,298001,0.183909
chr2L,299001,0.185092
chr2L,300001,0.215789
chr2L,301001,0.214679
chr2L,302001,0.212369
chr2L,303001,0.209702
chr2L,304001,0.210169
chr2L,305001,0.215338
chr2L,306001,0.217066
chr2L,307001,0.218032
chr2L,308001,0.218234
chr2L,309001,0.219248
chr2L,310001,0.219155
chr2L,311001,0.221444
chr2L,312001,0.223543
chr2L,313001,0.223913
chr2L,314001,0.225554
chr2L,315001,0.225970
chr2L,316001,0.227453
chr2L,317001,0.228633
chr2L,318001,0.231127
chr2L,319001,0.231818
chr2L,320001,0.253119
chr2L,321001,0.253870
chr2L,322001,0.255653
chr2L,323001,0.255604
chr2L,324001,0.256876
chr2L,325001,0.257681
chr2L,326001,0.260074
chr2L,327001,0.260917
chr2L,328001,0.262063
chr2L,329001,0.262544
chr2L,330001,0.264615
chr2L,331001,0.264975
chr2L,332001,0.267134
chr2L,333001,0.268845
chr2L,334001,0.270043
chr2L,335001,0.270909
chr2L,336001,0.272895
chr2L,337001,0.274081
chr2L,338001,0.276283
chr2L,339001,0.277361
chr2L,340001,0.294572
chr2L,341001,0.294434
chr2L,342001,0.296221
chr2L,343001,0.296328
chr2L,344001,0.299037
chr2L,345001,0.295119
chr2L,346001,0.294084
chr2L,347001,0.297609
chr2L,348001,0.311093
chr2L,349001,0.315037
chr2L,350001,0.317110
chr2L,351001,0.318677
chr2L,352001,0.318942
chr2L,353001,0.318896
chr2L,354001,0.317145
chr2L,355001,0.310468
chr2L,356001,0.310776
chr2L,357001,0.310666
chr2L,358001,0.307544
chr2L,359001,0.310137
chr2L,360001,0.328016
chr2L,361001,0.332222
chr2L,362001,0.329831
chr2L,363001,0.330250
chr2L,364001,0.325851
chr2L,365001,0.323458
chr2L,366001,0.314294
chr2L,367001,0.310632
chr2L,368001,0.307761
chr2L,369001,0.305611
chr2L,370001,0.302945
chr2L,371001,0.302691
chr2L,372001,0.297986
chr2L,373001,0.299195
chr2L,374001,0.297300
chr2L,375001,0.296183
chr2L,376001,0.294035
chr2L,377001,0.293453
chr2L,378001,0.293361
chr2L,379001,0.291897
chr2L,380001,0.305854
chr2L,381001,0.303495
chr2L,382001,0.304546
chr2L,383001,0.305694
chr2L,384001,0.307888
chr2L,385001,0.305548
chr2L,386001,0.308525
chr2L,387001,0.306227
chr2L,388001,0.307083
chr2L,389001,0.305619
chr2L,390001,0.308234
chr2L,391001,0.306703
chr2L,392001,0.310215
chr2L,393001,0.310266
chr2L,394001,0.313385
chr2L,395001,0.314626
chr2L,396001,0.317067
chr2L,397001,0.315823
chr2L,398001,0.319890
chr2L,399001,0.320113
chr2L,400001,0.336603
chr2L,401001,0.332645
chr2L,402001,0.335845
chr2L,403001,0.336004
chr2L,404001,0.338888
chr2L,405001,0.336673
chr2L,406001,0.338725
chr2L,407001,0.337002
chr2L,408001,0.335067
chr2L,409001,0.338287
chr2L,410001,0.343153
chr2L,411001,0.343116
chr2L,412001,0.345440
chr2L,413001,0.345596
chr2L,414001,0.344653
chr2L,415001,0.345998
chr2L,416001,0.347771
chr2L,417001,0.347000
chr2L,418001,0.347011
chr2L,419001,0.352720
chr2L,420001,0.365609
chr2L,421001,0.368726
chr2L,422001,0.368561
chr2L,423001,0.367765
chr2L,424001,0.371393
chr2L,425001,0.372150
chr2L,426001,0.373065
chr2L,427001,0.374953
chr2L,428001,0.376913
chr2L,429001,0.380782
chr2L,430001,0.389768
chr2L,431001,0.391554
chr2L,432001,0.388993
chr2L,433001,0.387207
chr2L,434001,0.392596
chr2L,435001,0.394063
chr2L,436001,0.399170
chr2L,437001,0.396376
chr2L,438001,0.405527
chr2L,439001,0.407540
chr2L,440001,0.447005
chr2L,441001,0.452953
chr2L,442001,0.462115
chr2L,443001,0.465780
chr2L,444001,0.474203
chr2L,445001,0.476145
chr2L,446001,0.485348
chr2L,447001,0.480989
chr2L,448001,0.489905
chr2L,449001,0.501416
chr2L,450001,0.537938
chr2L,451001,0.540085
chr2L,452001,0.570805
chr2L,453001,0.571623
chr2L,454001,0.587573
chr2L,455001,0.588348
chr2L,456001,0.606930
chr2L,457001,0.608624
chr2L,458001,0.613111
chr2L,459001,0.610379
chr2L,460001,0.672238
chr2L,461001,0.687257
chr2L,462001,0.697916
chr2L,463001,0.702755
chr2L,464001,0.711077
chr2L,465001,0.715824
chr2L,466001,0.716058
chr2L,467001,0.717828
chr2L,468001,0.718939
chr2L,469001,0.724807
chr2L,470001,0.724436
chr2L,471001,0.722248
chr2L,472001,0.730269
chr2L,473001,0.734985
chr2L,474001,0.737676
chr2L,475001,0.736349
chr2L,476001,0.729643
chr2L,477001,0.733039
chr2L,478001,0.725748
chr2L,479001,0.729268
chr2L,480001,0.763085
chr2L,481001,0.763436
chr2L,482001,0.764985
chr2L,483001,0.769295
chr2L,484001,0.765306
chr2L,485001,0.765677
chr2L,486001,0.766872
chr2L,487001,0.769972
chr2L,488001,0.770228
chr2L,489001,0.767021
chr2L,490001,0.761432
chr2L,491001,0.770293
chr2L,492001,0.776803
chr2L,493001,0.774858
chr2L,494001,0.775852
chr2L,495001,0.772817
chr2L,496001,0.776288
chr2L,497001,0.777898
chr2L,498001,0.779886
chr2L,499001,0.783064
chr2L,500001,0.799400
chr2L,501001,0.795881
chr2L,502001,0.795042
chr2L,503001,0.793723
chr2L,504001,0.795126
chr2L,505001,0.796466
chr2L,506001,0.790299
chr2L,507001,0.794831
chr2L,508001,0.791463
chr2L,509001,0.791813
chr2L,510001,0.793032
chr2L,511001,0.791967
chr2L,512001,0.796483
chr2L,513001,0.791581
chr2L,514001,0.796235
chr2L,515001,0.792698
chr2L,516001,0.794607
chr2L,517001,0.796639
chr2L,518001,0.796954
chr2L,519001,0.796534
chr2L,520001,0.808149
chr2L,521001,0.803289
chr2L,522001,0.804337
chr2L,523001,0.800867
chr2L,524001,0.805107
chr2L,525001,0.800475
chr2L,526001,0.802603
chr2L,527001,0.798400
chr2L,528001,0.798243
chr2L,529001,0.797199
chr2L,530001,0.794787
chr2L,531001,0.787833
chr2L,532001,0.792145
chr2L,533001,0.793140
chr2L,534001,0.793564
chr2L,535001,0.791514
chr2L,536001,0.797278
chr2L,537001,0.797138
chr2L,538001,0.793577
chr2L,539001,0.788051
chr2L,540001,0.779548
chr2L,541001,0.778570
chr2L,542001,0.783776
chr2L,543001,0.783786
chr2L,544001,0.787092
chr2L,545001,0.781152
chr2L,546001,0.782324
chr2L,547001,0.778255
chr2L,548001,0.778173
chr2L,549001,0.773092
chr2L,550001,0.770358
chr2L,551001,0.771021
chr2L,552001,0.763797
chr2L,553001,0.773643
chr2L,554001,0.776065
chr2L,555001,0.776119
chr2L,556001,0.775565
chr2L,557001,0.775953
chr2L,558001,0.774697
chr2L,559001,0.774595
chr2L,560001,0.767950
chr2L,561001,0.767415
chr2L,562001,0.765994
chr2L,563001,0.761798
chr2L,564001,0.766695
chr2L,565001,0.766518
chr2L,566001,0.767141
chr2L,567001,0.768798
chr2L,568001,0.769419
chr2L,569001,0.766243
chr2L,570001,0.763563
chr2L,571001,0.763697
chr2L,572001,0.759956
chr2L,573001,0.763148
chr2L,574001,0.761132
chr2L,575001,0.758468
chr2L,576001,0.758568
chr2L,577001,0.758834
chr2L,578001,0.763727
chr2L,579001,0.763120
chr2L,580001,0.762484
chr2L,581001,0.766834
chr2L,582001,0.761713
chr2L,583001,0.760376
chr2L,584001,0.765749
chr2L,585001,0.765695
chr2L,586001,0.763391
chr2L,587001,0.768739
chr2L,588001,0.776754
chr2L,589001,0.765370
chr2L,590001,0.765028
chr2L,591001,0.763844
chr2L,592001,0.770036
chr2L,593001,0.769924
chr2L,594001,0.766095
chr2L,595001,0.767007
chr2L,596001,0.765562
chr2L,597001,0.764411
chr2L,598001,0.766685
chr2L,599001,0.767965
chr2L,600001,0.766950
chr2L,601001,0.769329
chr2L,602001,0.777060
chr2L,603001,0.764695
chr2L,604001,0.761157
chr2L,605001,0.761831
chr2L,606001,0.762929
chr2L,607001,0.761203
chr2L,608001,0.760398
chr2L,609001,0.763261
chr2L,610001,0.765272
chr2L,611001,0.769168
chr2L,612001,0.771629
chr2L,613001,0.774765
chr2L,614001,0.776446
chr2L,615001,0.778723
chr2L,616001,0.775009
chr2L,617001,0.770466
chr2L,618001,0.769608
chr2L,619001,0.769791
chr2L,620001,0.777300
chr2L,621001,0.778358
chr2L,622001,0.775498
chr2L,623001,0.778248
chr2L,624001,0.779407
chr2L,625001,0.780230
chr2L,626001,0.779570
chr2L,627001,0.778305
chr2L,628001,0.777711
chr2L,629001,0.772729
chr2L,630001,0.769043
chr2L,631001,0.765915
chr2L,632001,0.768907
chr2L,633001,0.765656
chr2L,634001,0.771282
chr2L,635001,0.764231
chr2L,636001,0.763580
chr2L,637001,0.764958
chr2L,638001,0.763429
chr2L,639001,0.764192
chr2L,640001,0.759115
chr2L,641001,0.766566
chr2L,642001,0.768396
chr2L,643001,0.769664
chr2L,644001,0.770061
chr2L,645001,0.768322
chr2L,646001,0.764327
chr2L,647001,0.763780
chr2L,648001,0.766566
chr2L,649001,0.765663
chr2L,650001,0.754490
chr2L,651001,0.754627
chr2L,652001,0.754047
chr2L,653001,0.754942
chr2L,654001,0.750751
chr2L,655001,0.754089
chr2L,656001,0.749987
chr2L,657001,0.751853
chr2L,658001,0.747104
chr2L,659001,0.743973
chr2L,660001,0.744208
chr2L,661001,0.744366
chr2L,662001,0.745978
chr2L,663001,0.740996
chr2L,664001,0.739293
chr2L,665001,0.738408
chr2L,666001,0.737223
chr2L,667001,0.736182
chr2L,668001,0.741026
chr2L,669001,0.739972
chr2L,670001,0.742565
chr2L,671001,0.741625
chr2L,672001,0.743745
chr2L,673001,0.745143
chr2L,674001,0.748074
chr2L,675001,0.747255
chr2L,676001,0.752840
chr2L,677001,0.755307
chr2L,678001,0.759470
chr2L,679001,0.754742
chr2L,680001,0.761158
chr2L,681001,0.762736
chr2L,682001,0.763929
chr2L,683001,0.769106
chr2L,684001,0.775853
chr2L,685001,0.775498
chr2L,686001,0.788669
chr2L,687001,0.811615
chr2L,688001,0.822898
chr2L,689001,0.829014
chr2L,690001,0.832118
chr2L,691001,0.832921
chr2L,692001,0.831931
chr2L,693001,0.827957
chr2L,694001,0.821383
chr2L,695001,0.809276
chr2L,696001,0.785099
chr2L,697001,0.776577
chr2L,698001,0.765410
chr2L,699001,0.762800
chr2L,700001,0.763709
chr2L,701001,0.759366
chr2L,702001,0.755684
chr2L,703001,0.752101
chr2L,704001,0.748347
chr2L,705001,0.749272
chr2L,706001,0.753675
chr2L,707001,0.752700
chr2L,708001,0.746018
chr2L,709001,0.746061
chr2L,710001,0.748455
chr2L,711001,0.752212
chr2L,712001,0.752185
chr2L,713001,0.750797
chr2L,714001,0.747064
chr2L,715001,0.752544
chr2L,716001,0.751966
chr2L,717001,0.752649
chr2L,718001,0.753996
chr2L,719001,0.752556
chr2L,720001,0.753227
chr2L,721001,0.755454
chr2L,722001,0.755951
chr2L,723001,0.754682
chr2L,724001,0.754858
chr2L,725001,0.752133
chr2L,726001,0.753295
chr2L,727001,0.753146
chr2L,728001,0.755464
chr2L,729001,0.755767
chr2L,730001,0.754703
chr2L,731001,0.751183
chr2L,732001,0.752871
chr2L,733001,0.751393
chr2L,734001,0.752915
chr2L,735001,0.754238
chr2L,736001,0.758034
chr2L,737001,0.756795
chr2L,738001,0.767631
chr2L,739001,0.773062
chr2L,740001,0.780002
chr2L,741001,0.769424
chr2L,742001,0.777960
chr2L,743001,0.779943
chr2L,744001,0.782863
chr2L,745001,0.788341
chr2L,746001,0.790707
chr2L,747001,0.786976
chr2L,748001,0.792007
chr2L,749001,0.792205
chr2L,750001,0.798310
chr2L,751001,0.808597
chr2L,752001,0.814483
chr2L,753001,0.819036
chr2L,754001,0.825590
chr2L,755001,0.832486
chr2L,756001,0.833504
chr2L,757001,0.834319
chr2L,758001,0.832234
chr2L,759001,0.836698
chr2L,760001,0.836518
chr2L,761001,0.826593
chr2L,762001,0.834711
chr2L,763001,0.840790
chr2L,764001,0.844366
chr2L,765001,0.845677
chr2L,766001,0.849426
chr2L,767001,0.852316
chr2L,768001,0.853358
chr2L,769001,0.857175
chr2L,770001,0.869037
chr2L,771001,0.875156
chr2L,772001,0.860112
chr2L,773001,0.858046
chr2L,774001,0.853819
chr2L,775001,0.848797
chr2L,776001,0.853375
chr2L,777001,0.846067
chr2L,778001,0.847803
chr2L,779001,0.849342
chr2L,780001,0.843842
chr2L,781001,0.851585
chr2L,782001,0.862150
chr2L,783001,0.871728
chr2L,784001,0.863789
chr2L,785001,0.857374
chr2L,786001,0.855105
chr2L,787001,0.854450
chr2L,788001,0.852708
chr2L,789001,0.850834
chr2L,790001,0.850497
chr2L,791001,0.856057
chr2L,792001,0.854030
chr2L,793001,0.852522
chr2L,794001,0.852965
chr2L,795001,0.857374
chr2L,796001,0.853671
chr2L,797001,0.857200
chr2L,798001,0.859358
chr2L,799001,0.862282
chr2L,800001,0.861711
chr2L,801001,0.859154
chr2L,802001,0.858830
chr2L,803001,0.853588
chr2L,804001,0.855548
chr2L,805001,0.856489
chr2L,806001,0.855942
chr2L,807001,0.854839
chr2L,808001,0.858696
chr2L,809001,0.853135
chr2L,810001,0.854716
chr2L,811001,0.853483
chr2L,812001,0.852619
chr2L,813001,0.849792
chr2L,814001,0.850598
chr2L,815001,0.848013
chr2L,816001,0.845690
chr2L,817001,0.841993
chr2L,818001,0.839008
chr2L,819001,0.844143
chr2L,820001,0.842352
chr2L,821001,0.833326
chr2L,822001,0.829895
chr2L,823001,0.838029
chr2L,824001,0.836846
chr2L,825001,0.841649
chr2L,826001,0.837759
chr2L,827001,0.838959
chr2L,828001,0.839630
chr2L,829001,0.838622
chr2L,830001,0.843459
chr2L,831001,0.844539
chr2L,832001,0.832490
chr2L,833001,0.837865
chr2L,834001,0.839417
chr2L,835001,0.850688
chr2L,836001,0.853709
chr2L,837001,0.850962
chr2L,838001,0.852823
